TAIL_NUMBER,YEAR MANUFACTURED,MANUFACTURER,MODEL,NO-ENG,NO-SEATS
N407AS,2012,BOEING                        ,737-990ER           ,2,222
N171US,2001,AIRBUS INDUSTRIE              ,A321-211            ,2,199
N527AS,    ,BOEING                        ,737-890             ,2,149
N3730B,2000,BOEING                        ,737-832             ,2,189
N635NK,2014,AIRBUS                        ,A320-232            ,2,200
N584UW,2014,AIRBUS INDUSTRIE              ,A321-231            ,2,379
N826DN,2014,BOEING                        ,737-932ER           ,2,222
N958DN,1997,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N547US,1996,BOEING                        ,757-251             ,2,178
N3751B,2001,BOEING                        ,737-832             ,2,189
N651DL,1989,BOEING                        ,757-232             ,2,178
N309AS,2001,BOEING                        ,737-990             ,2,149
N3743H,2001,BOEING                        ,737-832             ,2,189
N78448,2012,BOEING                        ,737-924ER           ,2,191
N413AS,2013,BOEING                        ,737-990ER           ,2,222
N806DN,2013,BOEING                        ,737-932ER           ,2,222
N525NK,2006,AIRBUS                        ,A319-132            ,2,179
N632NK,2014,AIRBUS                        ,A320-232            ,2,200
N671DN,1992,BOEING                        ,757-232             ,2,178
N76517,2008,BOEING                        ,737-824             ,2,149
N457AS,2014,BOEING                        ,737-990ER           ,2,222
N528NK,2007,AIRBUS                        ,A319-132            ,2,179
N629NK,2014,AIRBUS                        ,A320-232            ,2,200
N431AS,2013,BOEING                        ,737-990ER           ,2,222
N320US,1991,AIRBUS INDUSTRIE              ,A320-211            ,2,182
N514NK,2006,AIRBUS                        ,A319-132            ,2,179
N389HA,    ,AIRBUS                        ,A330-243            ,2,377
N804AW,1999,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N76519,2009,BOEING                        ,737-824             ,2,149
N464AS,2014,BOEING                        ,737-990ER           ,2,222
N607JB,2005,AIRBUS                        ,A320-232            ,2,200
N633NK,2014,AIRBUS                        ,A320-232            ,2,200
N606NK,2011,AIRBUS                        ,A320-232            ,2,200
N514AS,2008,BOEING                        ,737-890             ,2,149
N630NK,2014,AIRBUS                        ,A320-232            ,2,200
N597JB,2004,AIRBUS                        ,A320-232            ,2,200
N172US,2001,AIRBUS INDUSTRIE              ,A321-211            ,2,199
N303AS,2001,BOEING                        ,737-990             ,2,149
N653JB,2007,AIRBUS                        ,A320-232            ,2,200
N37293,2005,BOEING                        ,737-824             ,2,149
N239JB,2006,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N627JB,2005,AIRBUS                        ,A320-232            ,2,200
N307JB,2009,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N621JB,2005,AIRBUS                        ,A320-232            ,2,200
N317JB,2010,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N646JB,2006,AIRBUS                        ,A320-232            ,2,200
N197UW,2009,AIRBUS                        ,A321-211            ,2,199
N607AS,1999,BOEING                        ,737-790             ,2,151
N492HA,2004,BOEING                        ,717-200             ,2,100
N701BR,2000,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N476HA,2001,BOEING                        ,717-200             ,2,100
N423AS,2013,BOEING                        ,737-990ER           ,2,222
N484HA,2001,BOEING                        ,717-200             ,2,100
N30401,2001,BOEING                        ,737-924             ,2,191
N616NK,2012,AIRBUS                        ,A320-232            ,2,200
N8982A,2004,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N445SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N746SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N12142,2003,EMBRAER                       ,EMB-145XR           ,2,55
N174US,    ,AIRBUS INDUSTRIE              ,A321-211            ,2,199
N355NW,1998,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N26545,2002,EMBRAER                       ,EMB-145LR           ,2,55
N882AS,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N432SW,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N477HA,2001,BOEING                        ,717-200             ,2,100
N720EV,2003,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N79521,2010,BOEING                        ,737-824             ,2,149
N37281,2003,BOEING                        ,737-824             ,2,149
N36476,2013,BOEING                        ,737-924ER           ,2,191
N509NK,2005,AIRBUS                        ,A319-132            ,2,179
N583SW,1999,EMBRAER                       ,EMB-120ER           ,2,32
N593ML,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N77066,2002,BOEING                        ,767-424ER           ,2,292
N66837,2014,BOEING                        ,737-924ER           ,2,191
N17245,1999,BOEING                        ,737-824             ,2,149
N358JB,2013,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N190JB,2005,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N324JB,2010,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N849AS,1999,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N132EV,2009,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N925SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N69813,2014,BOEING                        ,737-924ER           ,2,191
N719SK,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N292JB,2008,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N375JB,2013,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N3736C,2000,BOEING                        ,737-832             ,2,189
N910DN,1995,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N389DA,2000,BOEING                        ,737-832             ,2,189
N14998,2000,EMBRAER                       ,EMB-145LR           ,2,55
N11150,2003,EMBRAER                       ,EMB-145XR           ,2,55
N962SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N776SK,2006,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N926SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N554CA,2008,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N69810,2013,BOEING                        ,737-924ER           ,2,191
N65832,2014,BOEING                        ,737-924ER           ,2,191
N78509,2008,BOEING                        ,737-824             ,2,149
N623JB,2005,AIRBUS                        ,A320-232            ,2,200
N606JB,2005,AIRBUS                        ,A320-232            ,2,200
N794JB,2011,AIRBUS                        ,A320-232            ,2,200
N377DA,1999,BOEING                        ,737-832             ,2,189
N29917,2001,EMBRAER                       ,EMB-145LR           ,2,55
N218FR,2001,AIRBUS INDUSTRIE              ,A320-214            ,2,182
N435SW,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N934SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N560SW,1998,EMBRAER                       ,EMB-120ER           ,2,32
N485HA,2001,BOEING                        ,717-200             ,2,100
N337JB,2011,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N439UA,1997,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N650AW,1998,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N808UA,1998,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N37290,2004,BOEING                        ,737-824             ,2,149
N660AW,2000,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N651AW,1998,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N573AA,1991,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N966DL,1990,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N231JB,2006,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N13133,2003,EMBRAER                       ,EMB-145XR           ,2,55
N14179,2005,EMBRAER                       ,EMB-145XR           ,2,55
N917SW,    ,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N107SY,2014,EMBRAER S A                   ,ERJ 170-200 LR      ,2,88
N794SK,2010,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N956SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N656JB,2007,AIRBUS                        ,A320-232            ,2,200
N181PQ,2008,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N742SW,1998,BOEING                        ,737-7H4             ,2,140
N68452,2012,BOEING                        ,737-924ER           ,2,191
N31412,2002,BOEING                        ,737-924             ,2,191
N284JB,2008,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N334JB,2011,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N905EV,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N11140,2003,EMBRAER                       ,EMB-145XR           ,2,55
N16561,2002,EMBRAER                       ,EMB-145LR           ,2,55
N27200,2006,EMBRAER                       ,EMB-145XR           ,2,55
N12563,2002,EMBRAER                       ,EMB-145LR           ,2,55
N607NK,2011,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N76529,2010,BOEING                        ,737-824             ,2,149
N910SW,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N830UA,2000,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N454UA,1999,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N462UA,2000,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N464UA,2000,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N498UA,2002,AIRBUS                        ,A320-232            ,2,200
N415UA,1994,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N544UW,2011,AIRBUS                        ,A321-231            ,2,379
N654AW,1999,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N708UW,1999,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N847UA,2001,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N831UA,2000,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N68807,2013,BOEING                        ,737-924ER           ,2,191
N486WN,2004,BOEING                        ,737-7H4             ,2,140
N293WN,2007,BOEING                        ,737-7H4             ,2,140
N249WN,2006,BOEING                        ,737-7H4             ,2,140
N630WN,1996,BOEING                        ,737-3H4             ,2,149
N910WN,2008,BOEING                        ,737-7H4             ,2,140
N8641B,2014,BOEING                        ,737-8H4             ,2,140
N768SW,2000,BOEING                        ,737-7H4             ,2,140
N73445,2011,BOEING                        ,737-924ER           ,2,191
N24224,1998,BOEING                        ,737-824             ,2,149
N68822,2014,BOEING                        ,737-924ER           ,2,191
N38451,2012,BOEING                        ,737-924ER           ,2,191
N87531,2011,BOEING                        ,737-824             ,2,149
N37471,2013,BOEING                        ,737-924ER           ,2,191
N36207,2000,BOEING                        ,737-824             ,2,149
N33294,2005,BOEING                        ,737-824             ,2,149
N66814,2014,BOEING                        ,737-924ER           ,2,191
N765US,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N536UW,2009,AIRBUS                        ,A321-231            ,2,379
N560UW,2012,AIRBUS                        ,A321-231            ,2,379
N439AA,1987,MCDONNELL DOUGLAS             ,DC-9-83(MD-83)      ,2,172
N585AA,1991,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N201AA,1959,CESSNA                        ,150                 ,1,2
N505AA,1989,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N560AA,1991,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N577AS,2007,BOEING                        ,737-890             ,2,149
N767AS,1992,BOEING                        ,737-490             ,2,149
N440AS,2013,BOEING                        ,737-990ER           ,2,222
N589AS,2007,BOEING                        ,737-890             ,2,149
N453AS,2014,BOEING                        ,737-990ER           ,2,222
N512AS,2008,BOEING                        ,737-890             ,2,149
N618AS,2000,BOEING                        ,737-790             ,2,151
N532AS,2010,BOEING                        ,737-890             ,2,149
N510JB,2000,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N536JB,2002,AIRBUS                        ,A320-232            ,2,200
N570JB,2003,AIRBUS                        ,A320-232            ,2,200
N648JB,2006,AIRBUS                        ,A320-232            ,2,200
N556JB,2002,AIRBUS                        ,A320-232            ,2,200
N708JB,2008,AIRBUS                        ,A320-232            ,2,200
N766JB,2008,AIRBUS                        ,A320-232            ,2,200
N645JB,2006,AIRBUS                        ,A320-232            ,2,200
N587JB,2004,AIRBUS                        ,A320-232            ,2,200
N236JB,2006,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N519JB,2001,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N715JB,2008,AIRBUS                        ,A320-232            ,2,200
N598JB,2004,AIRBUS                        ,A320-232            ,2,200
N618JB,2005,AIRBUS                        ,A320-232            ,2,200
N203JB,2006,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N967DL,1990,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N323NB,2001,AIRBUS INDUSTRIE              ,A319-114            ,2,145
N341NW,1992,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N995AT,2002,BOEING                        ,717-200             ,2,100
N931DN,1997,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N3748Y,2001,BOEING                        ,737-832             ,2,189
N988DL,1991,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N682DA,1993,BOEING                        ,757-232             ,2,178
N966AT,2001,BOEING                        ,717-200             ,2,100
N912DE,1992,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N358NW,1998,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N947DN,1996,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N813DN,2014,BOEING                        ,737-932ER           ,2,222
N974DL,1991,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N554NW,2001,BOEING                        ,757-251             ,2,178
N903DE,1992,MCDONNELL DOUGLAS CORPORATION ,MD-88               ,2,142
N952DL,1990,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N934AT,2000,BOEING                        ,717-200             ,2,100
N905DA,1995,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N193JB,2005,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N523JB,2001,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N535JB,2002,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N640JB,2006,AIRBUS                        ,A320-232            ,2,200
N351JB,2012,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N906EV,    ,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N17560,2002,EMBRAER                       ,EMB-145LR           ,2,55
N14158,2004,EMBRAER                       ,EMB-145XR           ,2,55
N14568,2002,EMBRAER                       ,EMB-145LR           ,2,55
N13908,2001,EMBRAER                       ,EMB-145LR           ,2,55
N16987,2000,EMBRAER                       ,EMB-145LR           ,2,55
N11107,2002,EMBRAER                       ,EMB-145XR           ,2,55
N861AS,2000,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N21129,2003,EMBRAER                       ,EMB-145XR           ,2,55
N13997,2000,EMBRAER                       ,EMB-145LR           ,2,55
N12996,2000,EMBRAER                       ,EMB-145LR           ,2,55
N12122,2003,EMBRAER                       ,EMB-145XR           ,2,55
N16559,2002,EMBRAER                       ,EMB-145LR           ,2,55
N211FR,2011,AIRBUS                        ,A320-214            ,2,182
N919FR,2003,AIRBUS                        ,A319-111            ,2,147
N939FR,2005,AIRBUS                        ,A319-112            ,2,100
N949FR,2006,AIRBUS                        ,A319-112            ,2,100
N491HA,2003,BOEING                        ,717-200             ,2,100
N505NK,2005,AIRBUS                        ,A319-132            ,2,179
N634NK,2014,AIRBUS                        ,A320-232            ,2,200
N605NK,2011,AIRBUS                        ,A320-232            ,2,200
N601NK,2010,AIRBUS                        ,A320-232            ,2,200
N492SW,1997,CANADAIR                      ,CL-600-2B19         ,2,55
N952SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N763SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N652BR,2000,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N971SW,2004,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N715SK,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N114SY,2014,EMBRAER                       ,ERJ 170-200 LR      ,2,88
N223AG,2001,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N427SW,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N946SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N744SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N929EV,2004,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N568SW,1998,EMBRAER                       ,EMB-120ER           ,2,32
N594SW,1999,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N796SK,2010,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N494CA,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N292SW,1996,EMBRAER                       ,EMB-120ER           ,2,32
N791SK,2009,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N958SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N976SW,2004,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N767SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N740SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N708SK,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N291SW,1996,EMBRAER                       ,EMB-120ER           ,2,32
N495CA,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N438SW,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N983SW,2004,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N913SW,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N817UA,1998,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N76523,2010,BOEING                        ,737-824             ,2,149
N39461,2012,BOEING                        ,737-924ER           ,2,191
N11121,2003,EMBRAER                       ,EMB-145XR           ,2,55
N486HA,2001,BOEING                        ,717-200             ,2,100
N726SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N924SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N816UA,1998,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N406UA,1994,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N75425,2008,BOEING                        ,737-924ER           ,2,191
N15986,2000,EMBRAER                       ,EMB-145LR           ,2,55
N948FR,2006,AIRBUS                        ,A319-112            ,2,100
N838UA,2001,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N664AW,2001,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N723UW,1999,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N839AW,2006,AIRBUS                        ,A319-132            ,2,179
N73276,2002,BOEING                        ,737-824             ,2,149
N467WN,2004,BOEING                        ,737-7H4             ,2,140
N653SW,1997,BOEING                        ,737-3H4             ,2,149
N614SW,1995,BOEING                        ,737-3H4             ,2,149
N39726,1999,BOEING                        ,737-724             ,2,149
N663AW,2001,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N622AS,2000,BOEING                        ,737-790             ,2,151
N247JB,2006,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N559JB,2003,AIRBUS                        ,A320-232            ,2,200
N821JB,2012,AIRBUS                        ,A320-232            ,2,200
N809JB,2012,AIRBUS                        ,A320-232            ,2,200
N641JB,2006,AIRBUS                        ,A320-232            ,2,200
N503JB,1999,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N975DL,1991,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N336NB,2002,AIRBUS INDUSTRIE              ,A319-114            ,2,145
N14143,2003,EMBRAER                       ,EMB-145XR           ,2,55
N933EV,2005,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N223FR,2006,AIRBUS                        ,A320-214            ,2,182
N920FR,2003,AIRBUS                        ,A319-111            ,2,147
N951FR,2009,AIRBUS                        ,A319-112            ,2,100
N480HA,2001,BOEING                        ,717-200             ,2,100
N788SK,2009,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N945SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N76522,2010,BOEING                        ,737-824             ,2,149
N37466,2013,BOEING                        ,737-924ER           ,2,191
N959SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N623NK,2013,AIRBUS                        ,A320-232            ,2,200
N561SW,1998,EMBRAER                       ,EMB-120ER           ,2,32
N813UA,1998,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N422UA,1995,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N920SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N431SW,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N979SW,2004,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N8303R,    ,BOEING                        ,737-8H4             ,2,140
N37464,2012,BOEING                        ,737-924ER           ,2,191
N72405,2001,BOEING                        ,737-924             ,2,191
N424AA,1986,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N469AS,2014,BOEING                        ,737-990ER           ,2,222
N442AS,2013,BOEING                        ,737-990ER           ,2,222
N348JB,2012,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N923JB,2014,AIRBUS INDUSTRIE              ,A321-231            ,2,379
N355JB,2013,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N281JB,2007,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N692DL,1998,BOEING                        ,757-232             ,2,178
N819DN,2014,BOEING                        ,737-932ER           ,2,222
N760JB,2008,AIRBUS                        ,A320-232            ,2,200
N41104,2002,EMBRAER                       ,EMB-145XR           ,2,55
N14186,2005,EMBRAER                       ,EMB-145XR           ,2,55
N910FR,2002,AIRBUS                        ,A319-112            ,2,100
N970SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N834JB,2013,AIRBUS                        ,A320-232            ,2,200
N12552,2002,EMBRAER                       ,EMB-145LR           ,2,55
N961SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N510NK,2005,AIRBUS                        ,A319-132            ,2,179
N496UA,2002,AIRBUS                        ,A320-232            ,2,200
N763JB,2008,AIRBUS                        ,A320-232            ,2,200
N783CA,    ,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N815AW,2000,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N543UW,2011,AIRBUS                        ,A321-231            ,2,379
N466WN,2004,BOEING                        ,737-7H4             ,2,140
N7728D,2006,BOEING                        ,737-7BD             ,2,149
N621SW,1996,BOEING                        ,737-3H4             ,2,149
N437AA,1987,MCDONNELL DOUGLAS             ,DC-9-83(MD-83)      ,2,172
N627AS,2001,BOEING                        ,737-790             ,2,151
N274JB,2007,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N709JB,2008,AIRBUS                        ,A320-232            ,2,200
N566JB,2003,AIRBUS                        ,A320-232            ,2,200
N910AT,2001,BOEING                        ,717-200             ,2,100
N693DL,1998,BOEING                        ,757-232             ,2,178
N352NW,1998,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N920DN,    ,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N361NB,2003,AIRBUS                        ,A319-114            ,2,145
N385DN,1999,BOEING                        ,737-832             ,2,189
N827DN,2014,BOEING                        ,737-932ER           ,2,222
N321NB,2001,AIRBUS INDUSTRIE              ,A319-114            ,2,145
N879AS,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N901EV,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N876AS,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N14204,2006,EMBRAER                       ,EMB-145XR           ,2,55
N13202,2006,EMBRAER                       ,EMB-145XR           ,2,55
N847AS,1999,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N221FR,2007,AIRBUS                        ,A320-214            ,2,182
N789SK,2009,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N810SK,2006,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N930SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N886AS,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N468CA,    ,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N897SK,2006,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N508NK,2005,AIRBUS                        ,A319-132            ,2,179
N874AS,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N775JB,2009,AIRBUS                        ,A320-232            ,2,200
N118SY,2014,EMBRAER S A                   ,ERJ 170-200 LR      ,2,88
N446UA,1998,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N833AW,2002,AIRBUS                        ,A319-132            ,2,179
N824UA,1999,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N422WN,2002,BOEING                        ,737-7H4             ,2,140
N7736A,2006,BOEING                        ,737-7BD             ,2,149
N789SW,2000,BOEING                        ,737-7H4             ,2,140
N7707C,2004,BOEING                        ,737-76N             ,2,149
N461WN,2004,BOEING                        ,737-7H4             ,2,140
N276WN,2007,BOEING                        ,737-7H4             ,2,140
N69804,2013,BOEING                        ,737-924ER           ,2,191
N24212,1998,BOEING                        ,737-824             ,2,149
N557AA,1993,MARZ BARRY                    ,KITFOX IV           ,1,2
N496AA,1989,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N519AS,2009,BOEING                        ,737-890             ,2,149
N911DA,1995,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N591NW,2003,BOEING                        ,757-351             ,2,275
N327NB,2001,AIRBUS INDUSTRIE              ,A319-114            ,2,145
N14125,2003,EMBRAER                       ,EMB-145XR           ,2,55
N695CA,2006,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N534NK,2008,AIRBUS                        ,A319-132            ,2,179
N935SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N8903A,2004,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N39423,2008,BOEING                        ,737-924ER           ,2,191
N318JB,2010,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N822SK,2008,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N742SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N530NK,2007,AIRBUS                        ,A319-132            ,2,179
N487UA,2002,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N902DE,1992,MCDONNELL DOUGLAS CORPORATION ,MD-88               ,2,142
N152UW,2013,AIRBUS                        ,A321-211            ,2,199
N471UA,2001,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N7814B,2001,BOEING                        ,737-7K9             ,2,149
N8649A,2014,BOEING                        ,737-8H4             ,2,140
N561UW,2012,AIRBUS                        ,A321-231            ,2,379
N514AA,    ,DJI                           ,INSPIRE 2           ,4,0
N593AS,2008,BOEING                        ,737-890             ,2,149
N228JB,2006,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N580JB,2003,AIRBUS                        ,A320-232            ,2,200
N924DN,    ,BOEING                        ,MD-90-30            ,2,142
N970DL,1990,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N979AT,2002,BOEING                        ,717-200             ,2,100
N368JB,2013,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N921EV,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N516NK,2006,AIRBUS                        ,A319-132            ,2,179
N889AS,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N896SK,2006,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N14153,2003,EMBRAER                       ,EMB-145XR           ,2,55
N727SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N23139,2003,EMBRAER                       ,EMB-145XR           ,2,55
N675BR,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N723TW,2000,BOEING                        ,757-231             ,2,178
N69818,2014,BOEING                        ,737-924ER           ,2,191
N912UY,2014,AIRBUS                        ,A321-231            ,2,379
N831AW,2001,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N293AY,2014,AIRBUS                        ,A330-243            ,2,377
N404UA,1993,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N458UA,2000,AIRBUS INDUSTRIE              ,A320-232            ,2,200
