TAIL_NUMBER,YEAR MANUFACTURED,MANUFACTURER,MODEL,NO-ENG,NO-SEATS
N240WN,2006,BOEING                        ,737-7H4             ,2,140
N399WN,1995,BOEING                        ,737-3H4             ,2,149
N723SW,1999,BOEING                        ,737-7H4             ,2,140
N766SW,2000,BOEING                        ,737-7H4             ,2,140
N274WN,2007,BOEING                        ,737-7H4             ,2,140
N560WN,2000,BOEING                        ,737-790             ,2,151
N981EV,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N787SK,2009,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N978SW,2004,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N849UA,2002,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N855AS,2000,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N634VA,2008,AIRBUS                        ,A320-214            ,2,182
N797MX,2001,BOEING                        ,737-7H4             ,2,140
N604SW,1995,BOEING                        ,737-3H4             ,2,149
N460WN,2004,BOEING                        ,737-7H4             ,2,140
N838AW,2005,AIRBUS                        ,A319-132            ,2,179
N961DN,1998,BOEING                        ,MD-90-30            ,2,142
N893AT,2004,BOEING                        ,717-200             ,2,100
N982DL,1991,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N908EV,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N613SK,2002,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N982SW,2004,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N829UA,2000,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N820AW,2000,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N542UW,2009,AIRBUS                        ,A321-231            ,2,379
N835AW,    ,AIRBUS                        ,A319-132            ,2,179
N156UW,2013,AIRBUS                        ,A321-211            ,2,199
N642VA,2008,AIRBUS                        ,A320-214            ,2,182
N697SW,1988,BOEING                        ,737-3TO             ,2,149
N941WN,2009,BOEING                        ,737-7H4             ,2,140
N165US,2001,AIRBUS INDUSTRIE              ,A321-211            ,2,199
N298JB,2009,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N594NW,2003,BOEING                        ,757-351             ,2,275
N385HA,2012,AIRBUS                        ,A330-243            ,2,377
